| 0051h | 11101110 | (EEh)
| 0052h | 00001111 | (0Fh)
| 0053h | 00010000 | (10h)
| 0054h | 01101101 | (6Dh)
| 0055h | 00110101 | (35h)
| 0056h | 01101111 | (6Fh)
| 0057h | 01101001 | (69h)
| 0058h | 00000011 | (03h)
| 0059h | 00001000 | (08h)
| 005Ah | 10110000 | (B0h)
| 005Bh | 00001000 | (08h)
| 005Ch | 10011100 | (9Ch)
| 005Dh | 01010111 | (57h)
| 005Eh | 10001000 | (88h)
| 005Fh | 00011010 | (1Ah)
| 0060h | 01011001 | (59h)
| 0061h | 10010110 | (96h)
| 0062h | 01000110 | (46h)
| 0063h | 01100010 | (62h)
| 0064h | 01001110 | (4Eh)
| 0065h | 11100001 | (E1h)
| 0066h | 10000000 | (80h)
| 0067h | 10111001 | (B9h)
| 0068h | 01001001 | (49h)
| 0069h | 01011011 | (5Bh)
| 006Ah | 11011001 | (D9h)
| 006Bh | 11000011 | (C3h)
| 006Ch | 00111000 | (38h)
| 006Dh | 10110001 | (B1h)
| 006Eh | 11100001 | (E1h)
| 006Fh | 11100111 | (E7h)
| 0070h | 11111000 | (F8h)
| 0071h | 00001010 | (0Ah)
| 0072h | 00111001 | (39h)
| 0073h | 10110000 | (B0h)
| 0074h | 01000010 | (42h)
| 0075h | 00000111 | (07h)
| 0076h | 00011001 | (19h)
| 0077h | 00100111 | (27h)
| 0078h | 00111110 | (3Eh)
| 0079h | 10100111 | (A7h)
| 007Ah | 00111110 | (3Eh)
| 007Bh | 01110110 | (76h)
| 007Ch | 10001101 | (8Dh)
| 007Dh | 10011110 | (9Eh)
| 007Eh | 11010001 | (D1h)
| 007Fh | 01000011 | (43h)
| 0080h | 01110110 | (76h)
| 0081h | 10000010 | (82h)
| 0082h | 01111111 | (7Fh)
| 0083h | 00101011 | (2Bh)
| 0084h | 01011100 | (5Ch)
| 0085h | 10111100 | (BCh)
| 0086h | 01101110 | (6Eh)
| 0087h | 11111101 | (FDh)
| 0088h | 00010110 | (16h)
| 0089h | 00101001 | (29h)
| 008Ah | 01000110 | (46h)
| 008Bh | 01000101 | (45h)
| 008Ch | 01010110 | (56h)
| 008Dh | 00100100 | (24h)
| 008Eh | 11000000 | (C0h)
| 008Fh | 01110010 | (72h)
| 0090h | 01011001 | (59h)
| 0091h | 10011000 | (98h)
| 0092h | 01001010 | (4Ah)
| 0093h | 10001100 | (8Ch)
| 0094h | 01111001 | (79h)
| 0095h | 10011011 | (9Bh)
| 0096h | 10110101 | (B5h)
| 0097h | 11000010 | (C2h)
| 0098h | 01011101 | (5Dh)
| 0099h | 01010111 | (57h)
| 009Ah | 11000101 | (C5h)
| 009Bh | 01011111 | (5Fh)
| 009Ch | 01001000 | (48h)
| 009Dh | 00010100 | (14h)
| 009Eh | 00000100 | (04h)
| 009Fh | 11000001 | (C1h)
| 00A0h | 11011011 | (DBh)
| 00A1h | 01110000 | (70h)
| 00A2h | 11101010 | (EAh)
| 00A3h | 00110110 | (36h)
| 00A4h | 01000000 | (40h)
| 00A5h | 11111111 | (FFh)
| 00A6h | 00111011 | (3Bh)
| 00A7h | 10110101 | (B5h)
| 00A8h | 01110111 | (77h)
| 00A9h | 01000111 | (47h)
| 00AAh | 00010100 | (14h)
| 00ABh | 00100001 | (21h)
| 00ACh | 11000001 | (C1h)
| 00ADh | 00100010 | (22h)
| 00AEh | 00000100 | (04h)
| 00AFh | 10010000 | (90h)
| 00B0h | 10010010 | (92h)
| 00B1h | 00010010 | (12h)
| 00B2h | 01110000 | (70h)
| 00B3h | 00011111 | (1Fh)
| 00B4h | 00111010 | (3Ah)
| 00B5h | 11011111 | (DFh)
| 00B6h | 00100000 | (20h)
| 00B7h | 11111100 | (FCh)
| 00B8h | 01000001 | (41h)
| 00B9h | 11111111 | (FFh)
| 00BAh | 01100101 | (65h)
| 00BBh | 00110000 | (30h)
| 00BCh | 00001111 | (0Fh)
| 00BDh | 11110100 | (F4h)
| 00BEh | 01101000 | (68h)
| 00BFh | 10001100 | (8Ch)
| 00C0h | 00110111 | (37h)
| 00C1h | 00100110 | (26h)
| 00C2h | 10111011 | (BBh)
| 00C3h | 00000111 | (07h)
| 00C4h | 01100000 | (60h)
| 00C5h | 00011111 | (1Fh)
| 00C6h | 11110011 | (F3h)
| 00C7h | 00111001 | (39h)
| 00C8h | 01000001 | (41h)
| 00C9h | 01101001 | (69h)
| 00CAh | 11110101 | (F5h)
| 00CBh | 00100010 | (22h)
| 00CCh | 10111101 | (BDh)
| 00CDh | 10100001 | (A1h)
| 00CEh | 10101100 | (ACh)
| 00CFh | 00100101 | (25h)
| 00D0h | 01111101 | (7Dh)
| 00D1h | 01100000 | (60h)
| 00D2h | 10011111 | (9Fh)
| 00D3h | 01011001 | (59h)
| 00D4h | 10001111 | (8Fh)
| 00D5h | 00001111 | (0Fh)
| 00D6h | 10111000 | (B8h)
| 00D7h | 10111000 | (B8h)
| 00D8h | 01011110 | (5Eh)
| 00D9h | 00101011 | (2Bh)
| 00DAh | 11000011 | (C3h)
| 00DBh | 01100110 | (66h)
| 00DCh | 10100110 | (A6h)
| 00DDh | 00010110 | (16h)
| 00DEh | 00101101 | (2Dh)
| 00DFh | 00110110 | (36h)
| 00E0h | 00000111 | (07h)
| 00E1h | 00111111 | (3Fh)
| 00E2h | 01100101 | (65h)
| 00E3h | 10010111 | (97h)
| 00E4h | 01110110 | (76h)
| 00E5h | 11110010 | (F2h)
| 00E6h | 01011100 | (5Ch)
| 00E7h | 00000000 | (00h)
| 00E8h | 10101100 | (ACh)
| 00E9h | 00100110 | (26h)
| 00EAh | 10000110 | (86h)
| 00EBh | 01100111 | (67h)
| 00ECh | 01001111 | (4Fh)
| 00EDh | 10111100 | (BCh)
| 00EEh | 01000010 | (42h)
| 00EFh | 10000011 | (83h)
| 00F0h | 10011010 | (9Ah)
| 00F1h | 00011110 | (1Eh)
| 00F2h | 00010001 | (11h)
| 00F3h | 10011000 | (98h)
| 00F4h | 10110011 | (B3h)
| 00F5h | 01101111 | (6Fh)
| 00F6h | 00100010 | (22h)
| 00F7h | 00010110 | (16h)
| 00F8h | 11101000 | (E8h)
| 00F9h | 00000001 | (01h)
| 00FAh | 11010111 | (D7h)
| 00FBh | 01101101 | (6Dh)
| 00FCh | 00010001 | (11h)
| 00FDh | 10010101 | (95h)
| 00FEh | 11100001 | (E1h)
| 00FFh | 01110110 | (76h)
| 0100h | 00000110 | (06h)
| 0101h | 00100010 | (22h)
| 0102h | 11110011 | (F3h)
| 0103h | 10111100 | (BCh)
| 0104h | 01111110 | (7Eh)
| 0105h | 01101100 | (6Ch)
| 0106h | 01000011 | (43h)
| 0107h | 11011111 | (DFh)
| 0108h | 01010101 | (55h)
| 0109h | 00011011 | (1Bh)
| 010Ah | 11100010 | (E2h)
| 010Bh | 11100110 | (E6h)
| 010Ch | 00011100 | (1Ch)
| 010Dh | 01010100 | (54h)
| 010Eh | 01111111 | (7Fh)
| 010Fh | 00011101 | (1Dh)
| 0110h | 00111110 | (3Eh)
| 0111h | 00100110 | (26h)
| 0112h | 11101011 | (EBh)
| 0113h | 00100111 | (27h)
| 0114h | 11011010 | (DAh)
| 0115h | 10101001 | (A9h)
| 0116h | 00010100 | (14h)
| 0117h | 10110110 | (B6h)
| 0118h | 10100101 | (A5h)
| 0119h | 01001111 | (4Fh)
| 011Ah | 01110100 | (74h)
| 011Bh | 10111000 | (B8h)
| 011Ch | 01010111 | (57h)
| 011Dh | 11000011 | (C3h)
| 011Eh | 01001010 | (4Ah)
| 011Fh | 00000000 | (00h)
| 0120h | 10010111 | (97h)
| 0121h | 00110001 | (31h)
| 0122h | 10010110 | (96h)
| 0123h | 00110010 | (32h)
| 0124h | 10110101 | (B5h)
| 0125h | 10000100 | (84h)
| 0126h | 00100010 | (22h)
| 0127h | 01110010 | (72h)
| 0128h | 00000001 | (01h)
| 0129h | 01001110 | (4Eh)
| 012Ah | 01101001 | (69h)
| 012Bh | 01001111 | (4Fh)
| 012Ch | 00000011 | (03h)
| 012Dh | 10010000 | (90h)
| 012Eh | 01100110 | (66h)
| 012Fh | 00011110 | (1Eh)
| 0130h | 11000101 | (C5h)
| 0131h | 01001010 | (4Ah)
| 0132h | 10100001 | (A1h)
| 0133h | 00001110 | (0Eh)
| 0134h | 00001101 | (0Dh)
| 0135h | 01110101 | (75h)
| 0136h | 00001110 | (0Eh)
| 0137h | 10000101 | (85h)
| 0138h | 00111110 | (3Eh)
| 0139h | 00111100 | (3Ch)
| 013Ah | 00100110 | (26h)
| 013Bh | 01010100 | (54h)
| 013Ch | 00000001 | (01h)
| 013Dh | 11000100 | (C4h)
| 013Eh | 10110010 | (B2h)
| 013Fh | 01001111 | (4Fh)
| 0140h | 01010100 | (54h)
| 0141h | 01001010 | (4Ah)
| 0142h | 01001111 | (4Fh)
| 0143h | 00001000 | (08h)
| 0144h | 01101111 | (6Fh)
| 0145h | 00010000 | (10h)
| 0146h | 10101111 | (AFh)
| 0147h | 01111001 | (79h)
| 0148h | 11010010 | (D2h)
| 0149h | 11110100 | (F4h)
| 014Ah | 11100111 | (E7h)
| 014Bh | 01101101 | (6Dh)
| 014Ch | 00011100 | (1Ch)
| 014Dh | 00000011 | (03h)
| 014Eh | 11011100 | (DCh)
| 014Fh | 11001011 | (CBh)
| 0150h | 01010001 | (51h)
| 0151h | 00100111 | (27h)
| 0152h | 10110111 | (B7h)
| 0153h | 10000100 | (84h)
| 0154h | 11001010 | (CAh)
| 0155h | 01000100 | (44h)
| 0156h | 10101011 | (ABh)
| 0157h | 01111110 | (7Eh)
| 0158h | 11100111 | (E7h)
| 0159h | 01100001 | (61h)
| 015Ah | 11010001 | (D1h)
| 015Bh | 11000101 | (C5h)
| 015Ch | 01001011 | (4Bh)
| 015Dh | 00111101 | (3Dh)
| 015Eh | 11110111 | (F7h)
| 015Fh | 10111101 | (BDh)
| 0160h | 10010101 | (95h)
| 0161h | 00011001 | (19h)
| 0162h | 10101101 | (ADh)
| 0163h | 11100011 | (E3h)
| 0164h | 00100011 | (23h)
| 0165h | 01011001 | (59h)
| 0166h | 10110110 | (B6h)
| 0167h | 00010110 | (16h)
| 0168h | 10010110 | (96h)
| 0169h | 11011101 | (DDh)
| 016Ah | 11111001 | (F9h)
| 016Bh | 10111111 | (BFh)
| 016Ch | 01111010 | (7Ah)
| 016Dh | 00001000 | (08h)
| 016Eh | 00111011 | (3Bh)
| 016Fh | 01011110 | (5Eh)
| 0170h | 00100110 | (26h)
| 0171h | 00001111 | (0Fh)
| 0172h | 11010100 | (D4h)
| 0173h | 10101010 | (AAh)
| 0174h | 01111100 | (7Ch)
| 0175h | 10100110 | (A6h)
| 0176h | 01001001 | (49h)
| 0177h | 01100011 | (63h)
| 0178h | 01111010 | (7Ah)
| 0179h | 11010110 | (D6h)
| 017Ah | 00110101 | (35h)
| 017Bh | 11001110 | (CEh)
| 017Ch | 01110100 | (74h)
| 017Dh | 01111010 | (7Ah)
| 017Eh | 00001011 | (0Bh)
| 017Fh | 10100001 | (A1h)
| 0180h | 00000001 | (01h)
| 0181h | 11111111 | (FFh)
| 0182h | 10111110 | (BEh)
| 0183h | 11000111 | (C7h)
| 0184h | 00011101 | (1Dh)
| 0185h | 11010101 | (D5h)
| 0186h | 11100010 | (E2h)
| 0187h | 00000100 | (04h)
| 0188h | 01111001 | (79h)
| 0189h | 00001010 | (0Ah)
| 018Ah | 11110001 | (F1h)
| 018Bh | 11100111 | (E7h)
| 018Ch | 00110101 | (35h)
| 018Dh | 11000101 | (C5h)
| 018Eh | 00001111 | (0Fh)
| 018Fh | 10111001 | (B9h)
| 0190h | 01111100 | (7Ch)
| 0191h | 11110000 | (F0h)
| 0192h | 10000010 | (82h)
| 0193h | 00111001 | (39h)
| 0194h | 11011110 | (DEh)
| 0195h | 11100011 | (E3h)
| 0196h | 10101100 | (ACh)
| 0197h | 10110100 | (B4h)
| 0198h | 11010110 | (D6h)
| 0199h | 01101010 | (6Ah)
| 019Ah | 01111101 | (7Dh)
| 019Bh | 00001111 | (0Fh)
| 019Ch | 01100111 | (67h)
| 019Dh | 01000010 | (42h)
| 019Eh | 10011010 | (9Ah)
| 019Fh | 10001000 | (88h)
| 01A0h | 11100001 | (E1h)
| 01A1h | 00100110 | (26h)
| 01A2h | 11111100 | (FCh)
| 01A3h | 01101100 | (6Ch)
| 01A4h | 00011000 | (18h)
| 01A5h | 00111111 | (3Fh)
| 01A6h | 01110101 | (75h)
| 01A7h | 01110011 | (73h)
| 01A8h | 11011111 | (DFh)
| 01A9h | 00111100 | (3Ch)
| 01AAh | 11011101 | (DDh)
| 01ABh | 11011000 | (D8h)
| 01ACh | 01001011 | (4Bh)
| 01ADh | 00101101 | (2Dh)
| 01AEh | 01011111 | (5Fh)
| 01AFh | 11011010 | (DAh)
| 01B0h | 00110111 | (37h)
| 01B1h | 11101001 | (E9h)
| 01B2h | 01101100 | (6Ch)
| 01B3h | 11001001 | (C9h)
| 01B4h | 10010010 | (92h)
| 01B5h | 00001111 | (0Fh)
| 01B6h | 10010110 | (96h)
| 01B7h | 11111101 | (FDh)
| 01B8h | 10010101 | (95h)
| 01B9h | 11000100 | (C4h)
| 01BAh | 01101110 | (6Eh)
| 01BBh | 00010010 | (12h)
| 01BCh | 01010011 | (53h)
| 01BDh | 00001011 | (0Bh)
| 01BEh | 11000101 | (C5h)
| 01BFh | 00010000 | (10h)
| 01C0h | 00010010 | (12h)
| 01C1h | 00011011 | (1Bh)
| 01C2h | 11011001 | (D9h)
| 01C3h | 10100010 | (A2h)
| 01C4h | 00001001 | (09h)
| 01C5h | 11010101 | (D5h)
| 01C6h | 10010110 | (96h)
| 01C7h | 11111110 | (FEh)
| 01C8h | 01010110 | (56h)
| 01C9h | 10001101 | (8Dh)
| 01CAh | 01111100 | (7Ch)
| 01CBh | 00100110 | (26h)
| 01CCh | 10100000 | (A0h)
| 01CDh | 11001001 | (C9h)
| 01CEh | 01101100 | (6Ch)
| 01CFh | 00101010 | (2Ah)
| 01D0h | 10101100 | (ACh)
| 01D1h | 00101111 | (2Fh)
| 01D2h | 01100111 | (67h)
| 01D3h | 11100101 | (E5h)
| 01D4h | 01001110 | (4Eh)
| 01D5h | 00110111 | (37h)
| 01D6h | 10101111 | (AFh)
| 01D7h | 00100100 | (24h)
| 01D8h | 00110010 | (32h)
| 01D9h | 00010101 | (15h)
| 01DAh | 00001000 | (08h)
| 01DBh | 01100100 | (64h)
| 01DCh | 01010110 | (56h)
| 01DDh | 01111010 | (7Ah)
| 01DEh | 10100000 | (A0h)
| 01DFh | 11101111 | (EFh)
| 01E0h | 00011110 | (1Eh)
| 01E1h | 01000110 | (46h)
| 01E2h | 01100110 | (66h)
| 01E3h | 00011111 | (1Fh)
| 01E4h | 00010110 | (16h)
| 01E5h | 11110101 | (F5h)
| 01E6h | 10010100 | (94h)
| 01E7h | 10001011 | (8Bh)
| 01E8h | 00000001 | (01h)
| 01E9h | 10000101 | (85h)
| 01EAh | 01101111 | (6Fh)
| 01EBh | 10100001 | (A1h)
| 01ECh | 11111111 | (FFh)
| 01EDh | 10010101 | (95h)
| 01EEh | 11101001 | (E9h)
| 01EFh | 10011010 | (9Ah)
| 01F0h | 00000000 | (00h)
| 01F1h | 10101001 | (A9h)
| 01F2h | 11011101 | (DDh)
| 01F3h | 10101010 | (AAh)
| 01F4h | 11111010 | (FAh)
| 01F5h | 01100011 | (63h)
| 01F6h | 11100001 | (E1h)
| 01F7h | 01001000 | (48h)
| 01F8h | 10101000 | (A8h)
| 01F9h | 00011000 | (18h)
| 01FAh | 10101001 | (A9h)
| 01FBh | 00100100 | (24h)
| 01FCh | 01101111 | (6Fh)
| 01FDh | 10111011 | (BBh)
| 01FEh | 10101011 | (ABh)
| 01FFh | 11100101 | (E5h)
| 0200h | 01101100 | (6Ch)
| 0201h | 00101101 | (2Dh)
| 0202h | 00100111 | (27h)
| 0203h | 01111100 | (7Ch)
| 0204h | 10100001 | (A1h)
| 0205h | 10011110 | (9Eh)
| 0206h | 11100101 | (E5h)
| 0207h | 00000110 | (06h)
| 0208h | 11011000 | (D8h)
| 0209h | 01001001 | (49h)
| 020Ah | 01110101 | (75h)
| 020Bh | 11110110 | (F6h)
| 020Ch | 00101010 | (2Ah)
| 020Dh | 00100000 | (20h)
| 020Eh | 10011111 | (9Fh)
| 020Fh | 10000111 | (87h)
| 0210h | 11000001 | (C1h)
| 0211h | 11010101 | (D5h)
| 0212h | 01001111 | (4Fh)
| 0213h | 11000011 | (C3h)
| 0214h | 11101110 | (EEh)
| 0215h | 11011110 | (DEh)
| 0216h | 11100111 | (E7h)
| 0217h | 01110001 | (71h)
| 0218h | 01000101 | (45h)
| 0219h | 00111100 | (3Ch)
| 021Ah | 00101101 | (2Dh)
| 021Bh | 00010011 | (13h)
| 021Ch | 01111110 | (7Eh)
| 021Dh | 00010010 | (12h)
| 021Eh | 11110101 | (F5h)
| 021Fh | 01001111 | (4Fh)
| 0220h | 00000100 | (04h)
| 0221h | 01110111 | (77h)
| 0222h | 11000010 | (C2h)
| 0223h | 10101010 | (AAh)
| 0224h | 00100010 | (22h)
| 0225h | 11111011 | (FBh)
| 0226h | 11101000 | (E8h)
| 0227h | 00010001 | (11h)
| 0228h | 11110110 | (F6h)
| 0229h | 11000100 | (C4h)
| 022Ah | 10000111 | (87h)
| 022Bh | 10010111 | (97h)
| 022Ch | 01110100 | (74h)
| 022Dh | 11101010 | (EAh)
| 022Eh | 01010011 | (53h)
| 022Fh | 01111001 | (79h)
| 0230h | 11110001 | (F1h)
| 0231h | 00000010 | (02h)
| 0232h | 00110110 | (36h)
| 0233h | 11001010 | (CAh)
| 0234h | 11000111 | (C7h)
| 0235h | 10010001 | (91h)
| 0236h | 11111110 | (FEh)
| 0237h | 01001100 | (4Ch)
| 0238h | 01111001 | (79h)
| 0239h | 01100101 | (65h)
| 023Ah | 10110110 | (B6h)
| 023Bh | 01110101 | (75h)
| 023Ch | 01001000 | (48h)
| 023Dh | 11000000 | (C0h)
| 023Eh | 10111111 | (BFh)
| 023Fh | 10111110 | (BEh)
| 0240h | 01000110 | (46h)
| 0241h | 00100000 | (20h)
| 0242h | 10100111 | (A7h)
| 0243h | 00000110 | (06h)
| 0244h | 00110101 | (35h)
| 0245h | 11011111 | (DFh)
| 0246h | 10011000 | (98h)
| 0247h | 10010010 | (92h)
| 0248h | 11011010 | (DAh)
| 0249h | 10111000 | (B8h)
| 024Ah | 11100010 | (E2h)
| 024Bh | 01010111 | (57h)
| 024Ch | 00100001 | (21h)
| 024Dh | 00000100 | (04h)
| 024Eh | 11010011 | (D3h)
| 024Fh | 10001000 | (88h)
| 0250h | 10101000 | (A8h)
| 0251h | 01011001 | (59h)
| 0252h | 01101001 | (69h)
| 0253h | 01001011 | (4Bh)
| 0254h | 10001011 | (8Bh)
| 0255h | 01001101 | (4Dh)
| 0256h | 11000011 | (C3h)
| 0257h | 00011011 | (1Bh)
| 0258h | 01000110 | (46h)
| 0259h | 10101111 | (AFh)
| 025Ah | 01101100 | (6Ch)
| 025Bh | 10111010 | (BAh)
| 025Ch | 01101010 | (6Ah)
| 025Dh | 00000110 | (06h)
| 025Eh | 11101010 | (EAh)
| 025Fh | 10010011 | (93h)
| 0260h | 01101010 | (6Ah)
| 0261h | 10001110 | (8Eh)
| 0262h | 00001000 | (08h)
| 0263h | 10011001 | (99h)
| 0264h | 00011110 | (1Eh)
| 0265h | 10100111 | (A7h)
| 0266h | 11010111 | (D7h)
| 0267h | 00100000 | (20h)
| 0268h | 00010000 | (10h)
| 0269h | 10110001 | (B1h)
| 026Ah | 01110001 | (71h)
| 026Bh | 00000010 | (02h)
| 026Ch | 10001011 | (8Bh)
| 026Dh | 11100010 | (E2h)
| 026Eh | 11111011 | (FBh)
| 026Fh | 11010110 | (D6h)
| 0270h | 01010101 | (55h)
| 0271h | 10111001 | (B9h)
| 0272h | 01100000 | (60h)
| 0273h | 11101110 | (EEh)
| 0274h | 10011100 | (9Ch)
| 0275h | 11101010 | (EAh)
| 0276h | 10100001 | (A1h)
| 0277h | 01101110 | (6Eh)
| 0278h | 00110000 | (30h)
| 0279h | 01110101 | (75h)
| 027Ah | 11101101 | (EDh)
| 027Bh | 11011001 | (D9h)
| 027Ch | 00010001 | (11h)
| 027Dh | 00010100 | (14h)
| 027Eh | 01011000 | (58h)
| 027Fh | 00110100 | (34h)
| 0280h | 01000101 | (45h)
| 0281h | 11110101 | (F5h)
| 0282h | 01110100 | (74h)
| 0283h | 11011001 | (D9h)
| 0284h | 01111111 | (7Fh)
| 0285h | 11100101 | (E5h)
| 0286h | 11100101 | (E5h)
| 0287h | 01111111 | (7Fh)
| 0288h | 10100011 | (A3h)
| 0289h | 10000101 | (85h)
| 028Ah | 00111000 | (38h)
| 028Bh | 01110100 | (74h)
| 028Ch | 00011011 | (1Bh)
| 028Dh | 11001000 | (C8h)
| 028Eh | 00001111 | (0Fh)
| 028Fh | 10011111 | (9Fh)
| 0290h | 10000100 | (84h)
| 0291h | 11100000 | (E0h)
| 0292h | 01111111 | (7Fh)
| 0293h | 10101111 | (AFh)
| 0294h | 01011000 | (58h)
| 0295h | 11111101 | (FDh)
| 0296h | 00101110 | (2Eh)
| 0297h | 11100011 | (E3h)
| 0298h | 10111100 | (BCh)
| 0299h | 00110010 | (32h)
| 029Ah | 10101111 | (AFh)
| 029Bh | 00100110 | (26h)
| 029Ch | 11010000 | (D0h)
| 029Dh | 11011100 | (DCh)
| 029Eh | 00110010 | (32h)
| 029Fh | 10111111 | (BFh)
| 02A0h | 01000011 | (43h)
| 02A1h | 00011100 | (1Ch)
| 02A2h | 00101010 | (2Ah)
| 02A3h | 01100000 | (60h)
| 02A4h | 10001001 | (89h)
| 02A5h | 00000111 | (07h)
| 02A6h | 00101010 | (2Ah)
| 02A7h | 10011010 | (9Ah)
| 02A8h | 11001101 | (CDh)
| 02A9h | 00100011 | (23h)
| 02AAh | 10101000 | (A8h)
| 02ABh | 01101010 | (6Ah)
| 02ACh | 10001010 | (8Ah)
| 02ADh | 01111101 | (7Dh)
| 02AEh | 01010101 | (55h)
| 02AFh | 01100101 | (65h)
| 02B0h | 01111001 | (79h)
| 02B1h | 00101100 | (2Ch)
| 02B2h | 10111010 | (BAh)
| 02B3h | 10111011 | (BBh)
| 02B4h | 10011100 | (9Ch)
| 02B5h | 10011010 | (9Ah)
| 02B6h | 00000001 | (01h)
| 02B7h | 00101100 | (2Ch)
| 02B8h | 10000111 | (87h)
| 02B9h | 11000110 | (C6h)
| 02BAh | 00001101 | (0Dh)
| 02BBh | 01101010 | (6Ah)
| 02BCh | 00110000 | (30h)
| 02BDh | 10001010 | (8Ah)
| 02BEh | 10011101 | (9Dh)
| 02BFh | 10011010 | (9Ah)
| 02C0h | 11000000 | (C0h)
| 02C1h | 11101101 | (EDh)
| 02C2h | 00100111 | (27h)
| 02C3h | 11111100 | (FCh)
| 02C4h | 11001010 | (CAh)
| 02C5h | 11000101 | (C5h)
| 02C6h | 11000101 | (C5h)
| 02C7h | 10111011 | (BBh)
| 02C8h | 00111001 | (39h)
| 02C9h | 11010010 | (D2h)
| 02CAh | 01001010 | (4Ah)
| 02CBh | 00010001 | (11h)
| 02CCh | 00101100 | (2Ch)
| 02CDh | 01100011 | (63h)
| 02CEh | 00011100 | (1Ch)
| 02CFh | 01010001 | (51h)
| 02D0h | 00011101 | (1Dh)
| 02D1h | 10001110 | (8Eh)
| 02D2h | 10000010 | (82h)
| 02D3h | 11001011 | (CBh)
| 02D4h | 00011011 | (1Bh)
| 02D5h | 10011010 | (9Ah)
| 02D6h | 11101000 | (E8h)
| 02D7h | 00010000 | (10h)
| 02D8h | 10111111 | (BFh)
| 02D9h | 10110000 | (B0h)
| 02DAh | 00101001 | (29h)
| 02DBh | 00000010 | (02h)
| 02DCh | 10001010 | (8Ah)
| 02DDh | 10011010 | (9Ah)
| 02DEh | 11101101 | (EDh)
| 02DFh | 00000110 | (06h)
| 02E0h | 01101110 | (6Eh)
| 02E1h | 10000010 | (82h)
| 02E2h | 01111011 | (7Bh)
| 02E3h | 00101001 | (29h)
| 02E4h | 11110010 | (F2h)
| 02E5h | 01010101 | (55h)
| 02E6h | 11010001 | (D1h)
| 02E7h | 01011011 | (5Bh)
| 02E8h | 01000100 | (44h)
| 02E9h | 01111001 | (79h)
| 02EAh | 01101111 | (6Fh)
| 02EBh | 00011010 | (1Ah)
| 02ECh | 11111001 | (F9h)
| 02EDh | 01010101 | (55h)
| 02EEh | 01001010 | (4Ah)
| 02EFh | 00001010 | (0Ah)
| 02F0h | 11111111 | (FFh)
| 02F1h | 11010010 | (D2h)
| 02F2h | 01101001 | (69h)
| 02F3h | 01101110 | (6Eh)
| 02F4h | 10101010 | (AAh)
| 02F5h | 00001111 | (0Fh)
| 02F6h | 00010110 | (16h)
